批量回测 v2 结果
运行时间: 2026-06-20 17:55:59
股票数: 200 | 策略数: 3 | 总回测: 600
区间: 2024-01-01 ~ 2026-06-01

      代码           策略       收益     夏普     胜率       回撤   交易       基准       超额
  002767       七维评分穿越  +15.33% +0.44  50.0%  -24.28%   20  +10.42%   +4.91%
  601106         均线金叉  +15.30% +0.42  50.0%  -14.20%    6  +29.15%  -13.85%
  301592         趋势跟踪  +15.24% +1.07 100.0%   -4.77%    1  -31.00%  +46.24%
  688512         趋势跟踪  +15.19% +0.46  37.5%  -19.43%    8  -28.09%  +43.28%
  002650         趋势跟踪  +15.16% +0.57  50.0%  -11.67%    6  +85.50%  -70.34%
  688283         均线金叉  +15.16% +0.70  50.0%   -9.07%    6  -43.38%  +58.54%
  600232         趋势跟踪  +15.00% +0.40  37.5%  -20.68%    8  +25.92%  -10.92%
  600681         趋势跟踪  +15.00% +0.42  16.7%  -19.59%    6   -1.51%  +16.51%
  600113       七维评分穿越  +14.83% +0.91 100.0%   -3.74%    4 +362.47% -347.64%
  688728       七维评分穿越  +14.81% +0.46  71.4%  -20.83%    7  -32.95%  +47.76%
  603139         趋势跟踪  +14.80% +0.62  50.0%  -12.94%    4  +98.90%  -84.10%
  600129         均线金叉  +14.67% +0.70  33.3%  -14.08%    6  -66.52%  +81.19%
  000401         均线金叉  +14.66% +0.58  40.0%   -7.10%    5  -35.41%  +50.07%
  002247         均线金叉  +14.15% +0.69  40.0%   -7.37%    5  +11.76%   +2.39%
  300405         趋势跟踪  +14.14% +0.42  33.3%  -14.83%    6   -3.36%  +17.50%
  002716       七维评分穿越  +14.10% +0.69  66.7%   -9.61%    3 +233.59% -219.49%
  002537         趋势跟踪  +14.07% +0.52  40.0%   -9.44%    5   -3.72%  +17.79%
  002479         均线金叉  +13.86% +0.42  28.6%  -13.88%    7   +9.02%   +4.84%
  600689         趋势跟踪  +13.78% +0.46  40.0%  -19.97%    5   +3.10%  +10.68%
  601058         趋势跟踪  +13.66% +0.54  40.0%  -15.04%    5   +7.82%   +5.84%
  002486         趋势跟踪  +13.55% +0.49  42.9%  -20.53%    7  -14.89%  +28.44%
  601106       七维评分穿越  +13.53% +0.79 100.0%   -5.82%    2  +29.15%  -15.62%
  601058         均线金叉  +13.52% +0.57  40.0%   -9.94%    5   +7.82%   +5.70%
  002683         趋势跟踪  +13.46% +0.55  50.0%  -12.93%    4  +58.65%  -45.19%
  601933         趋势跟踪  +13.35% +0.54  66.7%  -12.80%    3  +30.53%  -17.18%
  300665         均线金叉  +13.32% +0.62  40.0%   -9.79%    5  +10.62%   +2.70%
  300632         趋势跟踪  +13.26% +0.38  42.9%  -14.43%    7 +111.94%  -98.68%
  603180         趋势跟踪  +13.24% +0.69  66.7%  -11.24%    3  -28.96%  +42.20%
  300494         均线金叉  +13.10% +0.54  50.0%  -12.42%    6  -38.75%  +51.85%
  301113         均线金叉  +13.05% +0.47  42.9%   -8.35%    7  -41.10%  +54.15%
  300254         均线金叉  +13.03% +0.39  41.7%  -23.38%   12   +8.40%   +4.63%
  600575         趋势跟踪  +12.84% +0.49  50.0%  -11.96%    4  +69.77%  -56.93%
  002175       七维评分穿越  +12.61% +0.36  48.0%  -18.38%   25   -2.87%  +15.48%
  002486         均线金叉  +12.54% +0.58  37.5%  -14.46%    8  -14.89%  +27.43%
  301282         均线金叉  +12.47% +0.46  28.6%  -14.44%    7  +12.64%   -0.17%
  301116         趋势跟踪  +12.37% +0.43  40.0%  -18.74%    5  -22.19%  +34.56%
  000544       七维评分穿越  +11.92% +0.59  33.3%   -9.15%    3  +14.14%   -2.22%
  002207         均线金叉  +11.90% +0.54  50.0%  -14.87%    6  +29.47%  -17.57%
  002537       七维评分穿越  +11.57% +0.37  43.8%  -14.81%   16   -3.72%  +15.29%
  603105         均线金叉  +11.55% +0.36  44.4%  -12.50%    9  -21.32%  +32.87%
  603335         均线金叉  +11.47% +0.56  50.0%  -10.02%    4   +9.86%   +1.61%
  600252       七维评分穿越  +11.40% +0.36  58.3%  -18.69%   12   -9.48%  +20.88%
  002418         趋势跟踪  +11.23% +0.37  37.5%  -14.28%    8  +65.32%  -54.09%
  300458       七维评分穿越  +11.18% +0.37  53.3%  -18.10%   15  +52.29%  -41.11%
  601319         趋势跟踪  +11.14% +0.36  28.6%  -26.82%    7  +43.68%  -32.54%
  603116         趋势跟踪  +11.09% +0.43  50.0%  -14.86%    4  +14.76%   -3.67%
  600130         趋势跟踪  +10.83% +0.38  50.0%  -17.65%    6   +5.22%   +5.61%
  688562       七维评分穿越  +10.77% +0.34  54.5%  -18.16%   11  -26.77%  +37.54%
  002663         趋势跟踪  +10.77% +0.37  28.6%  -27.19%    7   +7.10%   +3.67%
  600420         均线金叉  +10.67% +0.45  50.0%  -13.60%    8   -5.00%  +15.67%
  601058       七维评分穿越  +10.67% +0.37  62.5%  -13.56%    8   +7.82%   +2.85%
  002351         趋势跟踪  +10.61% +0.47  50.0%  -12.00%    2  -32.95%  +43.56%
  000537         均线金叉  +10.61% +0.34  37.5%  -21.74%    8  +11.73%   -1.12%
  603516         趋势跟踪  +10.57% +0.57  57.1%  -13.94%    7 +386.85% -376.28%
  603058         均线金叉  +10.56% +0.52  33.3%  -12.71%    6   +8.28%   +2.28%
  688410         趋势跟踪  +10.49% +0.42  40.0%  -13.55%    5  -41.55%  +52.04%
