code,market,name,date,deal_price,close_price,premium_pct,vol,amount,buyer,seller
688551,sh,科威尔,2026-06-18,0,0,0,0,0,,
688556,sh,高测股份,2026-06-18,0,0,0,0,0,,
688563,sh,航材股份,2026-06-18,0,0,0,0,0,,
688568,sh,中科星图,2026-06-18,0,0,0,0,0,,
688571,sh,杭华股份,2026-06-18,0,0,0,0,0,,
688625,sh,呈和科技,2026-06-18,0,0,0,0,0,,
688630,sh,芯碁微装,2026-06-18,0,0,0,0,0,,
688635,sh,长进光子,2026-06-18,0,0,0,0,0,,
688653,sh,康希通信,2026-06-18,0,0,0,0,0,,
688656,sh,浩欧博,2026-06-18,0,0,0,0,0,,
688661,sh,和林微纳,2026-06-18,0,0,0,0,0,,
688658,sh,悦康药业,2026-06-18,0,0,0,0,0,,
688662,sh,富信科技,2026-06-18,0,0,0,0,0,,
688663,sh,新风光,2026-06-18,0,0,0,0,0,,
688789,sh,宏华数科,2026-06-18,0,0,0,0,0,,
688981,sh,中芯国际,2026-06-18,0,0,0,0,0,,
000010,sz,*ST美丽,2026-06-18,0,0,0,0,0,,
000009,sz,中国宝安,2026-06-18,0,0,0,0,0,,
000021,sz,深科技,2026-06-18,0,0,0,0,0,,
000055,sz,方大集团,2026-06-18,0,0,0,0,0,,
000056,sz,*ST皇庭,2026-06-18,0,0,0,0,0,,
000060,sz,中金岭南,2026-06-18,0,0,0,0,0,,
000063,sz,中兴通讯,2026-06-18,0,0,0,0,0,,
000066,sz,中国长城,2026-06-18,0,0,0,0,0,,
000089,sz,深圳机场,2026-06-18,0,0,0,0,0,,
000088,sz,盐 田 港,2026-06-18,0,0,0,0,0,,
000155,sz,川能动力,2026-06-18,0,0,0,0,0,,
000151,sz,中成股份,2026-06-18,0,0,0,0,0,,
000333,sz,美的集团,2026-06-18,0,0,0,0,0,,
000338,sz,潍柴动力,2026-06-18,0,0,0,0,0,,
000411,sz,英特集团,2026-06-18,0,0,0,0,0,,
000410,sz,沈阳机床,2026-06-18,0,0,0,0,0,,
000425,sz,徐工机械,2026-06-18,0,0,0,0,0,,
000525,sz,红太阳,2026-06-18,0,0,0,0,0,,
000571,sz,新大洲A,2026-06-18,0,0,0,0,0,,
000601,sz,韶能股份,2026-06-18,0,0,0,0,0,,
000651,sz,格力电器,2026-06-18,0,0,0,0,0,,
000657,sz,中钨高新,2026-06-18,0,0,0,0,0,,
000681,sz,视觉中国,2026-06-18,0,0,0,0,0,,
000688,sz,国城矿业,2026-06-18,0,0,0,0,0,,
000703,sz,恒逸石化,2026-06-18,0,0,0,0,0,,
000786,sz,北新建材,2026-06-18,0,0,0,0,0,,
000792,sz,盐湖股份,2026-06-18,0,0,0,0,0,,
000858,sz,五 粮 液,2026-06-18,0,0,0,0,0,,
000876,sz,新 希 望,2026-06-18,0,0,0,0,0,,
000877,sz,天山股份,2026-06-18,0,0,0,0,0,,
000885,sz,城发环境,2026-06-18,0,0,0,0,0,,
000960,sz,锡业股份,2026-06-18,0,0,0,0,0,,
000967,sz,盈峰环境,2026-06-18,0,0,0,0,0,,
000977,sz,浪潮信息,2026-06-18,0,0,0,0,0,,
000981,sz,山子高科,2026-06-18,0,0,0,0,0,,
000983,sz,山西焦煤,2026-06-18,0,0,0,0,0,,
000988,sz,华工科技,2026-06-18,0,0,0,0,0,,
001280,sz,中国铀业,2026-06-18,0,0,0,0,0,,
001301,sz,尚太科技,2026-06-18,0,0,0,0,0,,
002008,sz,大族激光,2026-06-18,0,0,0,0,0,,
002015,sz,协鑫能科,2026-06-18,0,0,0,0,0,,
002024,sz,ST易购,2026-06-18,0,0,0,0,0,,
002031,sz,巨轮智能,2026-06-18,0,0,0,0,0,,
002054,sz,德美化工,2026-06-18,0,0,0,0,0,,
002081,sz,金 螳 螂,2026-06-18,0,0,0,0,0,,
002109,sz,ST兴化,2026-06-18,0,0,0,0,0,,
002124,sz,天邦食品,2026-06-18,0,0,0,0,0,,
002130,sz,沃尔核材,2026-06-18,0,0,0,0,0,,
002139,sz,拓邦股份,2026-06-18,0,0,0,0,0,,
002194,sz,武汉凡谷,2026-06-18,0,0,0,0,0,,
002202,sz,金风科技,2026-06-18,0,0,0,0,0,,
002207,sz,*ST准油,2026-06-18,0,0,0,0,0,,
002222,sz,福晶科技,2026-06-18,0,0,0,0,0,,
002277,sz,友阿股份,2026-06-18,0,0,0,0,0,,
002281,sz,光迅科技,2026-06-18,0,0,0,0,0,,
002300,sz,太阳电缆,2026-06-18,0,0,0,0,0,,
002353,sz,杰瑞股份,2026-06-18,0,0,0,0,0,,
002371,sz,北方华创,2026-06-18,0,0,0,0,0,,
002378,sz,章源钨业,2026-06-18,0,0,0,0,0,,
002373,sz,千方科技,2026-06-18,0,0,0,0,0,,
002407,sz,多氟多,2026-06-18,0,0,0,0,0,,
002422,sz,科伦药业,2026-06-18,0,0,0,0,0,,
002428,sz,云南锗业,2026-06-18,0,0,0,0,0,,
002438,sz,江苏神通,2026-06-18,0,0,0,0,0,,
002436,sz,兴森科技,2026-06-18,0,0,0,0,0,,
002454,sz,松芝股份,2026-06-18,0,0,0,0,0,,
002459,sz,晶澳科技,2026-06-18,0,0,0,0,0,,
002463,sz,沪电股份,2026-06-18,0,0,0,0,0,,
002466,sz,天齐锂业,2026-06-18,0,0,0,0,0,,
002470,sz,金正大,2026-06-18,0,0,0,0,0,,
002475,sz,立讯精密,2026-06-18,0,0,0,0,0,,
002491,sz,通鼎互联,2026-06-18,0,0,0,0,0,,
002514,sz,*ST宝馨,2026-06-18,0,0,0,0,0,,
002532,sz,天山铝业,2026-06-18,0,0,0,0,0,,
002549,sz,凯美特气,2026-06-18,0,0,0,0,0,,
002555,sz,三七互娱,2026-06-18,0,0,0,0,0,,
002583,sz,海能达,2026-06-18,0,0,0,0,0,,
002602,sz,世纪华通,2026-06-18,0,0,0,0,0,,
002664,sz,信质集团,2026-06-18,0,0,0,0,0,,
002667,sz,*ST威领,2026-06-18,0,0,0,0,0,,
002668,sz,TCL智家,2026-06-18,0,0,0,0,0,,
002672,sz,东江环保,2026-06-18,0,0,0,0,0,,
002690,sz,美亚光电,2026-06-18,0,0,0,0,0,,
002718,sz,友邦吊顶,2026-06-18,0,0,0,0,0,,
002727,sz,一心堂,2026-06-18,0,0,0,0,0,,
002768,sz,国恩股份,2026-06-18,0,0,0,0,0,,
002793,sz,罗欣药业,2026-06-18,0,0,0,0,0,,
002798,sz,帝欧水华,2026-06-18,0,0,0,0,0,,
002800,sz,天顺股份,2026-06-18,0,0,0,0,0,,
002843,sz,泰嘉股份,2026-06-18,0,0,0,0,0,,
002873,sz,新天药业,2026-06-18,0,0,0,0,0,,
002936,sz,郑州银行,2026-06-18,0,0,0,0,0,,
002937,sz,兴瑞科技,2026-06-18,0,0,0,0,0,,
300001,sz,特锐德,2026-06-18,0,0,0,0,0,,
300009,sz,安科生物,2026-06-18,0,0,0,0,0,,
300014,sz,亿纬锂能,2026-06-18,0,0,0,0,0,,
300027,sz,ST华谊,2026-06-18,0,0,0,0,0,,
300056,sz,中创环保,2026-06-18,0,0,0,0,0,,
300070,sz,碧水源,2026-06-18,0,0,0,0,0,,
300136,sz,信维通信,2026-06-18,0,0,0,0,0,,
300185,sz,通裕重工,2026-06-18,0,0,0,0,0,,
300215,sz,电科院,2026-06-18,0,0,0,0,0,,
300249,sz,依米康,2026-06-18,0,0,0,0,0,,
300265,sz,通光线缆,2026-06-18,0,0,0,0,0,,
300274,sz,阳光电源,2026-06-18,0,0,0,0,0,,
300284,sz,苏交科,2026-06-18,0,0,0,0,0,,
300285,sz,国瓷材料,2026-06-18,0,0,0,0,0,,
300316,sz,晶盛机电,2026-06-18,0,0,0,0,0,,
300347,sz,泰格医药,2026-06-18,0,0,0,0,0,,
300393,sz,中来股份,2026-06-18,0,0,0,0,0,,
300394,sz,天孚通信,2026-06-18,0,0,0,0,0,,
300395,sz,菲利华,2026-06-18,0,0,0,0,0,,
300408,sz,三环集团,2026-06-18,0,0,0,0,0,,
300406,sz,九强生物,2026-06-18,0,0,0,0,0,,
300450,sz,先导智能,2026-06-18,0,0,0,0,0,,
300451,sz,创业慧康,2026-06-18,0,0,0,0,0,,
300460,sz,ST惠伦,2026-06-18,0,0,0,0,0,,
300465,sz,高伟达,2026-06-18,0,0,0,0,0,,
300467,sz,迅游科技,2026-06-18,0,0,0,0,0,,
300473,sz,德尔股份,2026-06-18,0,0,0,0,0,,
300474,sz,景嘉微,2026-06-18,0,0,0,0,0,,
300476,sz,胜宏科技,2026-06-18,0,0,0,0,0,,
300475,sz,香农芯创,2026-06-18,0,0,0,0,0,,
300478,sz,杭州高新,2026-06-18,0,0,0,0,0,,
300493,sz,润欣科技,2026-06-18,0,0,0,0,0,,
300496,sz,中科创达,2026-06-18,0,0,0,0,0,,
300497,sz,富祥股份,2026-06-18,0,0,0,0,0,,
300498,sz,温氏股份,2026-06-18,0,0,0,0,0,,
300502,sz,新易盛,2026-06-18,0,0,0,0,0,,
300503,sz,昊志机电,2026-06-18,0,0,0,0,0,,
300519,sz,新光药业,2026-06-18,0,0,0,0,0,,
300596,sz,利安隆,2026-06-18,0,0,0,0,0,,
300604,sz,长川科技,2026-06-18,0,0,0,0,0,,
300611,sz,美力科技,2026-06-18,0,0,0,0,0,,
300613,sz,富瀚微,2026-06-18,0,0,0,0,0,,
300615,sz,欣天科技,2026-06-18,0,0,0,0,0,,
300617,sz,安靠智电,2026-06-18,0,0,0,0,0,,
300627,sz,华测导航,2026-06-18,0,0,0,0,0,,
300628,sz,亿联网络,2026-06-18,0,0,0,0,0,,
300632,sz,光莆股份,2026-06-18,0,0,0,0,0,,
300709,sz,精研科技,2026-06-18,0,0,0,0,0,,
300796,sz,贝斯美,2026-06-18,0,0,0,0,0,,
300803,sz,指南针,2026-06-18,0,0,0,0,0,,
300816,sz,艾可蓝,2026-06-18,0,0,0,0,0,,
300821,sz,东岳硅材,2026-06-18,0,0,0,0,0,,
300825,sz,阿尔特,2026-06-18,0,0,0,0,0,,
300908,sz,仲景食品,2026-06-18,0,0,0,0,0,,
300927,sz,江天化学,2026-06-18,0,0,0,0,0,,
300931,sz,通用电梯,2026-06-18,0,0,0,0,0,,
300932,sz,三友联众,2026-06-18,0,0,0,0,0,,
300988,sz,津荣天宇,2026-06-18,0,0,0,0,0,,
300995,sz,奇德新材,2026-06-18,0,0,0,0,0,,
301002,sz,崧盛股份,2026-06-18,0,0,0,0,0,,
301017,sz,漱玉平民,2026-06-18,0,0,0,0,0,,
301019,sz,宁波色母,2026-06-18,0,0,0,0,0,,
301021,sz,英诺激光,2026-06-18,0,0,0,0,0,,
301023,sz,奕帆传动,2026-06-18,0,0,0,0,0,,
301029,sz,怡合达,2026-06-18,0,0,0,0,0,,
301031,sz,中熔电气,2026-06-18,0,0,0,0,0,,
301033,sz,迈普医学,2026-06-18,0,0,0,0,0,,
301039,sz,中集车辆,2026-06-18,0,0,0,0,0,,
301165,sz,锐捷网络,2026-06-18,0,0,0,0,0,,
301171,sz,易点天下,2026-06-18,0,0,0,0,0,,
301183,sz,东田微,2026-06-18,0,0,0,0,0,,
301186,sz,超达装备,2026-06-18,0,0,0,0,0,,
301188,sz,力诺药包,2026-06-18,0,0,0,0,0,,
301191,sz,菲菱科思,2026-06-18,0,0,0,0,0,,
301193,sz,家联科技,2026-06-18,0,0,0,0,0,,
301200,sz,大族数控,2026-06-18,0,0,0,0,0,,
301201,sz,诚达药业,2026-06-18,0,0,0,0,0,,
301210,sz,金杨精密,2026-06-18,0,0,0,0,0,,
301209,sz,联合化学,2026-06-18,0,0,0,0,0,,
301212,sz,联盛化学,2026-06-18,0,0,0,0,0,,
301216,sz,万凯新材,2026-06-18,0,0,0,0,0,,
301219,sz,腾远钴业,2026-06-18,0,0,0,0,0,,
301235,sz,华康洁净,2026-06-18,0,0,0,0,0,,
301338,sz,凯格精机,2026-06-18,0,0,0,0,0,,
301348,sz,蓝箭电子,2026-06-18,0,0,0,0,0,,
301373,sz,凌玮科技,2026-06-18,0,0,0,0,0,,
301377,sz,鼎泰高科,2026-06-18,0,0,0,0,0,,
301382,sz,蜂助手,2026-06-18,0,0,0,0,0,,
301560,sz,众捷汽车,2026-06-18,0,0,0,0,0,,
301565,sz,中仑新材,2026-06-18,0,0,0,0,0,,
301571,sz,国科天成,2026-06-18,0,0,0,0,0,,
301580,sz,爱迪特,2026-06-18,0,0,0,0,0,,
301585,sz,蓝宇股份,2026-06-18,0,0,0,0,0,,
301588,sz,美新科技,2026-06-18,0,0,0,0,0,,
301590,sz,优优绿能,2026-06-18,0,0,0,0,0,,
301595,sz,太力科技,2026-06-18,0,0,0,0,0,,
301601,sz,惠通科技,2026-06-18,0,0,0,0,0,,
301607,sz,富特科技,2026-06-18,0,0,0,0,0,,
600030,sh,中信证券,2026-06-22,0,0,0,0,0,,
600031,sh,三一重工,2026-06-22,0,0,0,0,0,,
600036,sh,招商银行,2026-06-22,0,0,0,0,0,,
600066,sh,宇通客车,2026-06-22,0,0,0,0,0,,
600073,sh,光明肉业,2026-06-22,0,0,0,0,0,,
600085,sh,同仁堂,2026-06-22,0,0,0,0,0,,
600095,sh,湘财股份,2026-06-22,0,0,0,0,0,,
600100,sh,同方股份,2026-06-22,0,0,0,0,0,,
600104,sh,上汽集团,2026-06-22,0,0,0,0,0,,
600106,sh,重庆路桥,2026-06-22,0,0,0,0,0,,
600191,sh,华资实业,2026-06-22,0,0,0,0,0,,
600188,sh,兖矿能源,2026-06-22,0,0,0,0,0,,
600193,sh,退市创兴,2026-06-22,0,0,0,0,0,,
600219,sh,南山铝业,2026-06-22,0,0,0,0,0,,
600221,sh,海航控股,2026-06-22,0,0,0,0,0,,
600222,sh,太龙药业,2026-06-22,0,0,0,0,0,,
600284,sh,浦东建设,2026-06-22,0,0,0,0,0,,
600309,sh,万华化学,2026-06-22,0,0,0,0,0,,
600331,sh,宏达股份,2026-06-22,0,0,0,0,0,,
600330,sh,天通股份,2026-06-22,0,0,0,0,0,,
600361,sh,创新新材,2026-06-22,0,0,0,0,0,,
600382,sh,广东明珠,2026-06-22,0,0,0,0,0,,
600418,sh,江淮汽车,2026-06-22,0,0,0,0,0,,
600421,sh,退市华嵘,2026-06-22,0,0,0,0,0,,
600519,sh,贵州茅台,2026-06-22,0,0,0,0,0,,
600522,sh,中天科技,2026-06-22,0,0,0,0,0,,
600538,sh,国发股份,2026-06-22,0,0,0,0,0,,
600549,sh,厦门钨业,2026-06-22,0,0,0,0,0,,
600577,sh,精达股份,2026-06-22,0,0,0,0,0,,
600666,sh,奥瑞德,2026-06-22,0,0,0,0,0,,
600673,sh,东阳光,2026-06-22,0,0,0,0,0,,
600675,sh,中华企业,2026-06-22,0,0,0,0,0,,
600690,sh,海尔智家,2026-06-22,0,0,0,0,0,,
600703,sh,三安光电,2026-06-22,0,0,0,0,0,,
600817,sh,宇通重工,2026-06-22,0,0,0,0,0,,
600819,sh,耀皮玻璃,2026-06-22,0,0,0,0,0,,
600929,sh,雪天盐业,2026-06-22,0,0,0,0,0,,
600930,sh,华电新能,2026-06-22,0,0,0,0,0,,
601088,sh,中国神华,2026-06-22,0,0,0,0,0,,
601166,sh,兴业银行,2026-06-22,0,0,0,0,0,,
601168,sh,西部矿业,2026-06-22,0,0,0,0,0,,
601179,sh,中国西电,2026-06-22,0,0,0,0,0,,
601577,sh,长沙银行,2026-06-22,0,0,0,0,0,,
601601,sh,中国太保,2026-06-22,0,0,0,0,0,,
601658,sh,邮储银行,2026-06-22,0,0,0,0,0,,
601669,sh,中国电建,2026-06-22,0,0,0,0,0,,
601678,sh,滨化股份,2026-06-22,0,0,0,0,0,,
601686,sh,友发集团,2026-06-22,0,0,0,0,0,,
601688,sh,华泰证券,2026-06-22,0,0,0,0,0,,
601727,sh,上海电气,2026-06-22,0,0,0,0,0,,
601838,sh,成都银行,2026-06-22,0,0,0,0,0,,
601857,sh,中国石油,2026-06-22,0,0,0,0,0,,
601860,sh,紫金银行,2026-06-22,0,0,0,0,0,,
601868,sh,中国能建,2026-06-22,0,0,0,0,0,,
601872,sh,招商轮船,2026-06-22,0,0,0,0,0,,
601929,sh,吉视传媒,2026-06-22,0,0,0,0,0,,
601939,sh,建设银行,2026-06-22,0,0,0,0,0,,
601963,sh,重庆银行,2026-06-22,0,0,0,0,0,,
601985,sh,中国核电,2026-06-22,0,0,0,0,0,,
601975,sh,招商南油,2026-06-22,0,0,0,0,0,,
601988,sh,中国银行,2026-06-22,0,0,0,0,0,,
601990,sh,南京证券,2026-06-22,0,0,0,0,0,,
601991,sh,大唐发电,2026-06-22,0,0,0,0,0,,
603083,sh,剑桥科技,2026-06-22,0,0,0,0,0,,
603108,sh,润达医疗,2026-06-22,0,0,0,0,0,,
603112,sh,华翔股份,2026-06-22,0,0,0,0,0,,
603117,sh,万林物流,2026-06-22,0,0,0,0,0,,
603119,sh,浙江荣泰,2026-06-22,0,0,0,0,0,,
603219,sh,富佳股份,2026-06-22,0,0,0,0,0,,
603223,sh,恒通股份,2026-06-22,0,0,0,0,0,,
603259,sh,药明康德,2026-06-22,0,0,0,0,0,,
603258,sh,电魂网络,2026-06-22,0,0,0,0,0,,
603260,sh,合盛硅业,2026-06-22,0,0,0,0,0,,
603266,sh,天龙股份,2026-06-22,0,0,0,0,0,,
603267,sh,鸿远电子,2026-06-22,0,0,0,0,0,,
603268,sh,松发股份,2026-06-22,0,0,0,0,0,,
603269,sh,海鸥股份,2026-06-22,0,0,0,0,0,,
603271,sh,永杰新材,2026-06-22,0,0,0,0,0,,
603339,sh,四方科技,2026-06-22,0,0,0,0,0,,
603355,sh,莱克电气,2026-06-22,0,0,0,0,0,,
603367,sh,辰欣药业,2026-06-22,0,0,0,0,0,,
603379,sh,三美股份,2026-06-22,0,0,0,0,0,,
603529,sh,爱玛科技,2026-06-22,0,0,0,0,0,,
603559,sh,ST通脉,2026-06-22,0,0,0,0,0,,
603557,sh,*ST起步,2026-06-22,0,0,0,0,0,,
603568,sh,伟明环保,2026-06-22,0,0,0,0,0,,
603565,sh,中谷物流,2026-06-22,0,0,0,0,0,,
603579,sh,荣泰健康,2026-06-22,0,0,0,0,0,,
603588,sh,高能环境,2026-06-22,0,0,0,0,0,,
603601,sh,再升科技,2026-06-22,0,0,0,0,0,,
603608,sh,天创时尚,2026-06-22,0,0,0,0,0,,
603609,sh,禾丰股份,2026-06-22,0,0,0,0,0,,
603612,sh,索通发展,2026-06-22,0,0,0,0,0,,
603618,sh,杭电股份,2026-06-22,0,0,0,0,0,,
603619,sh,中曼石油,2026-06-22,0,0,0,0,0,,
603626,sh,科森科技,2026-06-22,0,0,0,0,0,,
603633,sh,徕木股份,2026-06-22,0,0,0,0,0,,
603638,sh,艾迪精密,2026-06-22,0,0,0,0,0,,
603650,sh,彤程新材,2026-06-22,0,0,0,0,0,,
603665,sh,康隆达,2026-06-22,0,0,0,0,0,,
603666,sh,亿嘉和,2026-06-22,0,0,0,0,0,,
