code,market,name,price,last_close,open,high,low,change_amt,change_pct,turnover_pct,pe_ttm,pb,mcap_yi,float_mcap_yi,limit_up,limit_down,vol_ratio,pe_static,amplitude_pct,amount_wan,update_time
000607,sz,华媒控股,3.40,3.42,3.41,3.42,3.34,-0.02,-0.58,1.10,-9.97,2.91,34.60,,3.76,3.08,-20.93,3.42,30.09,-9.67,2026-06-16T18:29:47.722653
000608,sz,阳光股份,7.16,6.52,6.67,7.17,6.60,0.64,9.82,10.15,-23.82,2.61,53.69,,7.17,5.87,83.12,7.17,53.37,-24.61,2026-06-16T18:29:47.722653
000609,sz,*ST中迪,11.88,11.83,11.84,11.92,11.35,0.05,0.42,2.78,-8.23,-11.18,35.55,,12.42,11.24,18.56,11.92,34.58,-8.51,2026-06-16T18:29:47.722653
000610,sz,*ST西旅,6.68,6.41,6.39,6.72,6.18,0.27,4.21,2.98,-5.54,-19.48,15.81,,6.73,6.09,-29.46,6.72,15.73,-5.43,2026-06-16T18:29:47.722653
000612,sz,焦作万方,11.03,11.59,11.36,11.47,10.99,-0.56,-4.83,4.36,9.26,1.80,131.50,,12.75,10.43,-10.87,11.47,131.50,12.28,2026-06-16T18:29:47.722653
000615,sz,*ST美谷,3.44,3.44,3.44,3.47,3.36,0.00,0.00,0.81,-9.94,3.76,61.49,,3.61,3.27,7.17,3.47,31.83,-13.85,2026-06-16T18:29:47.722653
000617,sz,中油资本,7.36,7.41,7.37,7.40,7.27,-0.05,-0.67,0.53,20.26,0.87,930.46,,8.15,6.67,-24.44,7.40,930.46,21.64,2026-06-16T18:29:47.722653
000619,sz,海螺新材,4.89,4.97,4.97,4.97,4.79,-0.08,-1.61,3.40,-24.78,0.87,21.57,,5.47,4.47,-22.63,4.97,17.60,-25.21,2026-06-16T18:29:47.722653
000620,sz,盈新发展,2.92,2.97,2.97,2.98,2.87,-0.05,-1.68,3.81,-14.41,4.68,171.46,,3.27,2.67,-11.52,2.98,136.42,-14.62,2026-06-16T18:29:47.722653
000623,sz,吉林敖东,17.88,17.77,17.70,17.97,17.55,0.11,0.62,1.04,7.79,0.68,213.83,,19.55,15.99,-3.77,17.97,212.94,8.93,2026-06-16T18:29:47.722653
000625,sz,长安汽车,7.53,7.67,7.65,7.66,7.50,-0.14,-1.83,0.77,24.29,0.97,746.44,,8.44,6.90,-30.08,7.66,622.52,18.32,2026-06-16T18:29:47.722653
000626,sz,远大控股,7.16,7.31,7.28,7.31,7.09,-0.15,-2.05,1.73,-41.15,1.65,36.27,,8.04,6.58,-12.90,7.31,36.07,-27.15,2026-06-16T18:29:47.722653
000628,sz,高新发展,53.49,53.42,53.36,54.87,52.16,0.07,0.13,5.87,174.09,8.57,188.43,,58.76,48.08,0.15,54.87,102.83,172.50,2026-06-16T18:29:47.722653
000629,sz,钒钛股份,3.27,3.25,3.25,3.32,3.21,0.02,0.62,1.30,396.85,2.46,303.81,,3.58,2.93,-10.41,3.32,303.80,-325.58,2026-06-16T18:29:47.722653
000630,sz,铜陵有色,7.57,7.66,7.56,7.68,7.38,-0.09,-1.17,7.39,38.60,2.76,1015.10,,8.43,6.89,17.36,7.68,843.52,42.03,2026-06-16T18:29:47.722653
000631,sz,顺发恒能,3.15,3.24,3.24,3.27,3.15,-0.09,-2.78,1.38,156.44,1.32,72.45,,3.56,2.92,-20.15,3.27,72.45,122.84,2026-06-16T18:29:47.722653
000632,sz,ST三木,3.68,3.67,3.69,3.71,3.49,0.01,0.27,3.75,-1.85,27.31,17.13,,3.85,3.49,-25.05,3.71,17.13,-1.91,2026-06-16T18:29:47.722653
000633,sz,合金投资,5.35,5.33,5.30,5.38,5.20,0.02,0.38,2.96,278.70,10.34,20.60,,5.86,4.80,-25.17,5.38,20.60,272.11,2026-06-16T18:29:47.722653
000635,sz,英 力 特,7.01,6.83,6.84,7.09,6.64,0.18,2.64,2.70,-4.60,2.51,27.63,,7.51,6.15,-22.11,7.09,25.71,-4.99,2026-06-16T18:29:47.722653
000636,sz,风华高科,70.61,65.03,68.24,71.53,68.00,5.58,8.58,15.52,265.85,6.54,816.97,,71.53,58.53,213.82,71.53,816.97,288.36,2026-06-16T18:29:47.722653
000637,sz,茂化实华,3.89,3.91,3.91,3.94,3.77,-0.02,-0.51,2.65,-14.99,4.23,20.22,,4.30,3.52,-18.45,3.94,14.18,-14.27,2026-06-16T18:29:47.722653
000639,sz,ST西王,1.42,1.38,1.38,1.43,1.36,0.04,2.90,3.79,-1.22,0.93,15.33,,1.45,1.31,-53.29,1.43,15.33,-1.23,2026-06-16T18:29:47.722653
000650,sz,仁和药业,5.26,5.33,5.31,5.32,5.23,-0.07,-1.31,0.71,19.94,1.14,73.64,,5.86,4.80,-10.70,5.32,70.03,18.73,2026-06-16T18:29:47.722653
000651,sz,格力电器,37.29,37.86,37.82,37.82,37.27,-0.57,-1.51,0.85,7.16,1.37,2088.76,,41.65,34.07,-4.43,37.82,2059.16,7.20,2026-06-16T18:29:47.722653
000652,sz,泰达股份,3.61,3.59,3.59,3.63,3.55,0.02,0.56,0.78,-18.59,0.98,52.68,,3.95,3.23,-10.42,3.63,52.64,-18.41,2026-06-16T18:29:47.722653
000655,sz,金岭矿业,7.18,7.31,7.28,7.28,7.13,-0.13,-1.78,0.95,16.82,1.21,42.75,,8.04,6.58,-25.60,7.28,42.75,15.94,2026-06-16T18:29:47.722653
000656,sz,*ST金科,1.36,1.36,1.36,1.37,1.35,0.00,0.00,0.70,0.47,3.65,144.12,,1.43,1.29,-1.45,1.37,102.99,0.49,2026-06-16T18:29:47.722653
000657,sz,中钨高新,92.50,86.90,89.48,94.14,89.01,5.60,6.44,8.47,108.14,19.73,2107.71,,95.59,78.21,69.91,94.14,1343.96,164.58,2026-06-16T18:29:47.722653
000659,sz,珠海中富,3.48,3.59,3.58,3.59,3.45,-0.11,-3.06,2.26,-44.21,48.65,44.74,,3.95,3.23,-7.20,3.59,44.74,-38.84,2026-06-16T18:29:47.722653
000661,sz,长春高新,64.86,65.52,65.38,65.90,64.39,-0.66,-1.01,1.34,-630.11,1.19,264.59,,72.07,58.97,-28.02,65.90,259.19,170.73,2026-06-16T18:29:47.722653
000663,sz,永安林业,5.62,5.58,5.58,5.64,5.43,0.04,0.72,1.92,-21.35,2.08,18.92,,6.14,5.02,-21.40,5.64,17.21,-19.90,2026-06-16T18:29:47.722653
000665,sz,湖北广电,4.08,4.09,4.08,4.10,4.02,-0.01,-0.24,0.96,-4.22,1.45,46.40,,4.50,3.68,-22.29,4.10,46.39,-4.24,2026-06-16T18:29:47.722653
000668,sz,荣丰控股,21.67,20.16,20.18,22.00,19.80,1.51,7.49,4.47,113.38,4.26,31.82,,22.18,18.14,49.65,22.00,31.82,121.70,2026-06-16T18:29:47.722653
000669,sz,ST金鸿,4.02,4.05,4.03,4.05,3.98,-0.03,-0.74,0.95,62.11,44.98,27.35,,4.25,3.85,-21.02,4.05,27.35,99.95,2026-06-16T18:29:47.722653
000670,sz,盈方微,9.15,9.04,9.05,9.27,8.70,0.11,1.22,12.61,-95.41,251.25,77.29,,9.94,8.14,10.24,9.27,75.20,-93.86,2026-06-16T18:29:47.722653
000672,sz,上峰材料,17.30,16.82,16.66,17.50,16.50,0.48,2.85,3.84,28.44,1.94,167.71,,18.50,15.14,26.85,17.50,167.71,26.30,2026-06-16T18:29:47.722653
000676,sz,智度股份,5.64,5.58,5.56,5.67,5.47,0.06,1.08,2.02,49.59,1.66,71.05,,6.14,5.02,-31.39,5.67,71.01,50.18,2026-06-16T18:29:47.722653
000677,sz,ST海龙,1.89,1.80,1.79,1.89,1.71,0.09,5.00,5.95,-359.73,3.18,16.33,,1.89,1.71,-59.70,1.89,16.33,470.47,2026-06-16T18:29:47.722653
